01;CLA;IPL3;201611;
1;J;2504306;6;EBT;
1;J;2504405;4;EBT;
1;J;2504504;1;EBT;
1;J;2504603;18;EBT;
1;J;2504702;1;EBT;
1;J;2504801;4;EBT;
1;J;2504850;1;EBT;
1;J;2504900;4;EBT;
1;J;2505006;1;EBT;
1;J;2505105;4;EBT;
1;J;2505204;1;EBT;
1;J;2505238;1;EBT;
1;J;2505279;3;EBT;
1;J;2505303;1;EBT;
1;J;2505402;1;EBT;
1;J;2505501;1;EBT;
1;J;2505600;2;EBT;
1;J;2505709;3;EBT;
1;J;2505808;1;EBT;
1;J;2505907;1;EBT;
1;J;2506004;4;EBT;
1;J;2506202;1;EBT;
1;J;2506301;13;EBT;
1;J;2506400;3;EBT;
1;J;2506608;3;EBT;
1;J;2506707;1;EBT;
1;J;2506806;4;EBT;
1;J;2506905;4;EBT;
1;J;2507002;4;EBT;
1;J;2507101;2;EBT;
1;J;2507200;2;EBT;
1;J;2507309;6;EBT;
1;J;2507408;4;EBT;
1;J;2507507;443;EBT;
1;J;2507606;1;EBT;
1;J;2507705;4;EBT;
1;J;2507804;1;EBT;
1;J;2507903;1;EBT;
1;J;2508000;1;EBT;
1;J;2508109;1;EBT;
1;J;2508208;2;EBT;
1;J;2508307;2;EBT;
1;J;2508406;1;EBT;
1;J;2508505;1;EBT;
1;J;2508604;6;EBT;
1;J;2508703;1;EBT;
1;J;2508802;5;EBT;
1;J;2508901;6;EBT;
1;J;2509057;2;EBT;
1;J;2509107;2;EBT;
1;J;2509156;1;EBT;
1;J;2509305;6;EBT;
1;J;2509396;1;EBT;
1;J;2509404;1;EBT;
1;J;2509602;1;EBT;
1;J;2509701;11;EBT;
1;J;2509800;1;EBT;
1;J;2509909;1;EBT;
1;J;2510006;1;EBT;
1;J;2510204;1;EBT;
1;J;2510303;1;EBT;
1;J;2510402;1;EBT;
1;J;2510501;1;EBT;
1;J;2510600;1;EBT;
1;J;2510659;3;EBT;
