01;CLA;IPL3;201210;
1;J;2708006;11;
1;J;2708105;1;
1;J;2708204;3;
1;J;2708303;2;
1;J;2708402;3;
1;J;2708501;3;
1;J;2708600;1;
1;J;2708709;1;
1;J;2708808;4;
1;J;2708907;3;
1;J;2708956;1;
1;J;2709004;2;
1;J;2709103;2;
1;J;2709152;7;
1;J;2709202;2;
1;J;2709301;6;
1;J;2709400;3;
1;J;2800209;1;
1;J;2800308;254;
1;J;2800407;1;
1;J;2800506;4;
1;J;2800605;5;
1;J;2800670;5;
1;J;2801009;1;
1;J;2801108;1;
1;J;2801207;1;
1;J;2801405;5;
1;J;2801504;3;
1;J;2801603;1;
1;J;2801702;1;
1;J;2802106;21;
1;J;2802205;1;
1;J;2802304;2;
1;J;2802403;1;
1;J;2802700;1;
1;J;2802908;4;
1;J;2803005;3;
1;J;2803203;14;
1;J;2803302;1;
1;J;2803401;3;
1;J;2803500;9;
1;J;2803609;10;
1;J;2803708;1;
1;J;2803807;2;
1;J;2804003;4;
1;J;2804102;1;
1;J;2804201;1;
1;J;2804409;3;
1;J;2804508;4;
1;J;2804607;1;
1;J;2804805;68;
1;J;2804904;4;
1;J;2805109;2;
1;J;2805307;2;
1;J;2805406;1;
1;J;2805505;1;
1;J;2805604;1;
1;J;2805703;1;
1;J;2806008;1;
1;J;2806107;2;
1;J;2806206;1;
1;J;2806305;1;
1;J;2806503;1;
1;J;2806602;2;
1;J;2806701;26;
1;J;2806800;1;
1;J;2807105;2;
1;J;2807303;1;
1;J;2807402;3;
1;J;2807600;3;
1;J;2900108;1;
1;J;2900355;1;
1;J;2900702;23;
1;J;2900801;1;
1;J;2900900;1;
1;J;2901007;1;
1;J;2901205;1;
1;J;2901304;1;
1;J;2901502;1;
1;J;2901601;2;
1;J;2902104;1;
1;J;2902906;1;
1;J;2903201;28;
1;J;2903276;1;
1;J;2903409;1;
1;J;2903508;1;
1;J;2903904;4;
1;J;2904001;1;
1;J;2904100;1;
1;J;2904308;1;
1;J;2904605;7;
1;J;2904704;3;
1;J;2904753;1;
1;J;2904803;1;
1;J;2904902;4;
1;J;2905008;1;
1;J;2905206;3;
1;J;2905404;2;
1;J;2905602;6;
1;J;2905701;189;
1;J;2905800;1;
1;J;2905909;2;
1;J;2906006;6;
1;J;2906303;2;
1;J;2906501;46;
1;J;2906709;2;
1;J;2906857;1;
1;J;2906873;2;
1;J;2906907;4;
1;J;2907103;2;
1;J;2907301;2;
1;J;2907509;9;
1;J;2907806;1;
1;J;2907905;1;
1;J;2908002;2;
1;J;2908101;2;
1;J;2908408;4;
1;J;2908507;6;
1;J;2908606;1;
1;J;2908705;1;
1;J;2908804;2;
1;J;2908903;1;
1;J;2909307;3;
1;J;2909406;1;
1;J;2909802;11;
1;J;2909901;2;
1;J;2910057;16;
1;J;2910503;8;
1;J;2910602;5;
1;J;2910701;4;
1;J;2910727;45;
1;J;2910800;167;
1;J;2910909;1;
1;J;2911105;1;
1;J;2911204;4;
1;J;2911600;2;
1;J;2911709;6;
1;J;2911808;1;
